exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref,valor_bimestre_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2022,1,AC,Governo do Estado do Acre,12,292803226.54999995,0.29280322654999996,2022B1,NA,NA,NA
2022,2,AC,Governo do Estado do Acre,12,289022394.14,0.28902239413999997,2022B2,NA,NA,NA
2023,1,AC,Governo do Estado do Acre,12,297352833.31,0.29735283331,2023B1,292803226.54999995,0.01553810322927962,1.553810322927962
2023,2,AC,Governo do Estado do Acre,12,302164806.6,0.3021648066,2023B2,289022394.14,0.04547195209252175,4.547195209252175
2024,1,AC,Governo do Estado do Acre,12,342191338.97,0.34219133897000004,2024B1,297352833.31,0.15079225968986965,15.079225968986965
2024,2,AC,Governo do Estado do Acre,12,335814898.65,0.33581489864999997,2024B2,302164806.6,0.1113633729507928,11.13633729507928
2025,1,AC,Governo do Estado do Acre,12,342135668.03999996,0.34213566803999995,2025B1,342191338.97,-1.626894770850873e-4,-0.01626894770850873
2025,2,AC,Governo do Estado do Acre,12,338791500.88,0.33879150088,2025B2,335814898.65,0.008863818258112444,0.8863818258112444
2026,1,AC,Governo do Estado do Acre,12,330064962.19,0.33006496219,2026B1,342135668.03999996,-0.035280466135406696,-3.5280466135406696
2026,2,AC,Governo do Estado do Acre,12,456031554.6,0.4560315546,2026B2,338791500.88,0.34605370387236034,34.605370387236036
2022,1,AL,Governo do Estado de Alagoas,27,1099453395.61,1.0994533956099999,2022B1,NA,NA,NA
2022,2,AL,Governo do Estado de Alagoas,27,1037994915.73,1.03799491573,2022B2,NA,NA,NA
2023,1,AL,Governo do Estado de Alagoas,27,1097064333.74,1.0970643337400001,2023B1,1099453395.61,-0.0021729541966390986,-0.21729541966390986
2023,2,AL,Governo do Estado de Alagoas,27,1101384419.55,1.10138441955,2023B2,1037994915.73,0.06106918527189453,6.106918527189453
2024,1,AL,Governo do Estado de Alagoas,27,1433240455.7800002,1.4332404557800003,2024B1,1097064333.74,0.30643245952034803,30.643245952034803
2024,2,AL,Governo do Estado de Alagoas,27,1423750090.05,1.42375009005,2024B2,1101384419.55,0.29269132990977953,29.26913299097795
2025,1,AL,Governo do Estado de Alagoas,27,1661016868.8000002,1.6610168688000002,2025B1,1433240455.7800002,0.15892407453433144,15.892407453433144
2025,2,AL,Governo do Estado de Alagoas,27,1413213622.1,1.4132136221,2025B2,1423750090.05,-0.007400503798830282,-0.7400503798830282
2026,1,AL,Governo do Estado de Alagoas,27,1662902293.86,1.66290229386,2026B1,1661016868.8000002,0.001135102897155793,0.1135102897155793
2026,2,AL,Governo do Estado de Alagoas,27,1605186006.88,1.6051860068800001,2026B2,1413213622.1,0.13584102345032179,13.584102345032179
2022,1,AM,Governo do Estado do Amazonas,13,2199897882.3900003,2.19989788239,2022B1,NA,NA,NA
2022,2,AM,Governo do Estado do Amazonas,13,2235187813.52,2.23518781352,2022B2,NA,NA,NA
2023,1,AM,Governo do Estado do Amazonas,13,2359718130.29,2.35971813029,2023B1,2199897882.3900003,0.07264893938002648,7.264893938002648
2023,2,AM,Governo do Estado do Amazonas,13,2131954872.01,2.13195487201,2023B2,2235187813.52,-0.04618535448590677,-4.618535448590677
2024,1,AM,Governo do Estado do Amazonas,13,2350338964.99,2.3503389649899997,2024B1,2359718130.29,-0.003974697307956632,-0.39746973079566317
2024,2,AM,Governo do Estado do Amazonas,13,2392704238.73,2.39270423873,2024B2,2131954872.01,0.12230529367357867,12.230529367357867
2025,1,AM,Governo do Estado do Amazonas,13,2860470974.46,2.86047097446,2025B1,2350338964.99,0.21704614401104938,21.704614401104937
2025,2,AM,Governo do Estado do Amazonas,13,2672279290.33,2.67227929033,2025B2,2392704238.73,0.11684480140696074,11.684480140696074
2026,1,AM,Governo do Estado do Amazonas,13,2625735989.62,2.62573598962,2026B1,2860470974.46,-0.08206165590766512,-8.206165590766512
2026,2,AM,Governo do Estado do Amazonas,13,3366324621.73,3.36632462173,2026B2,2672279290.33,0.2597203570418316,25.97203570418316
2022,1,AP,Governo do Estado do Amapá,16,224376085.44,0.22437608543999998,2022B1,NA,NA,NA
2022,2,AP,Governo do Estado do Amapá,16,208304405,0.208304405,2022B2,NA,NA,NA
2023,1,AP,Governo do Estado do Amapá,16,227743475.37,0.22774347537,2023B1,224376085.44,0.015007793381351497,1.5007793381351497
2023,2,AP,Governo do Estado do Amapá,16,197474141.68,0.19747414168000002,2023B2,208304405,-0.051992483404275536,-5.199248340427554
2024,1,AP,Governo do Estado do Amapá,16,249723337.45,0.24972333745,2024B1,227743475.37,0.09651148971135504,9.651148971135504
2024,2,AP,Governo do Estado do Amapá,16,245366271.81,0.24536627181,2024B2,197474141.68,0.24252355129922543,24.25235512992254
2025,1,AP,Governo do Estado do Amapá,16,255692340.93,0.25569234093,2025B1,249723337.45,0.023902465588323984,2.3902465588323984
2025,2,AP,Governo do Estado do Amapá,16,255971191.78,0.25597119178,2025B2,245366271.81,0.04322077313956152,4.322077313956152
2026,1,AP,Governo do Estado do Amapá,16,284258013.01,0.28425801301,2026B1,255692340.93,0.11171891960510583,11.171891960510582
2026,2,AP,Governo do Estado do Amapá,16,271438701.52,0.27143870152,2026B2,255971191.78,0.060426759872626024,6.042675987262602
2022,1,BA,Governo do Estado da Bahia,29,5647764559.530001,5.647764559530001,2022B1,NA,NA,NA
2022,2,BA,Governo do Estado da Bahia,29,5678407626.889999,5.6784076268899994,2022B2,NA,NA,NA
2023,1,BA,Governo do Estado da Bahia,29,5091235969.1,5.0912359691,2023B1,5647764559.530001,-0.09853962298958052,-9.853962298958052
2023,2,BA,Governo do Estado da Bahia,29,5714959493.5,5.7149594935,2023B2,5678407626.889999,0.006436992377389483,0.6436992377389483
2024,1,BA,Governo do Estado da Bahia,29,6229869251.65,6.229869251649999,2024B1,5091235969.1,0.2236457491777346,22.36457491777346
2024,2,BA,Governo do Estado da Bahia,29,6106443667.89,6.106443667890001,2024B2,5714959493.5,0.06850165339496472,6.850165339496472
2025,1,BA,Governo do Estado da Bahia,29,7105759502.36,7.10575950236,2025B1,6229869251.65,0.14059528624585793,14.059528624585793
2025,2,BA,Governo do Estado da Bahia,29,6555556179.35,6.555556179350001,2025B2,6106443667.89,0.07354731098586953,7.354731098586953
2026,1,BA,Governo do Estado da Bahia,29,7086187570.620001,7.086187570620001,2026B1,7105759502.36,-0.002754375761450767,-0.2754375761450767
2026,2,BA,Governo do Estado da Bahia,29,6785119706.639999,6.78511970664,2026B2,6555556179.35,0.035018161847674145,3.5018161847674145
2022,1,CE,Governo do Estado do Ceará,23,2824147572.3199997,2.82414757232,2022B1,NA,NA,NA
