exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes,valor_12m_ano_anterior,crescimento_yoy,crescimento_yoy_pct
2022,1,2022B1,AC,Governo do Estado do Acre,12,1661217349.31,1.66121734931,NA,NA,NA
2022,2,2022B2,AC,Governo do Estado do Acre,12,1691635007.65,1.6916350076500002,NA,NA,NA
2023,1,2023B1,AC,Governo do Estado do Acre,12,1795584660.56,1.7955846605599999,1661217349.31,0.08088484707062005,8.088484707062005
2023,2,2023B2,AC,Governo do Estado do Acre,12,1808727073.02,1.80872707302,1691635007.65,0.06921827985379836,6.921827985379836
2024,1,2024B1,AC,Governo do Estado do Acre,12,1956971064.08,1.95697106408,1795584660.56,0.08987958466389845,8.987958466389845
2024,2,2024B2,AC,Governo do Estado do Acre,12,1990621156.13,1.99062115613,1808727073.02,0.10056469316086192,10.056469316086192
2025,1,2025B1,AC,Governo do Estado do Acre,12,2159912446.25,2.15991244625,1956971064.08,0.10370177970178918,10.370177970178919
2025,2,2025B2,AC,Governo do Estado do Acre,12,2162889048.48,2.16288904848,1990621156.13,0.08653976765971327,8.653976765971327
2026,1,2026B1,AC,Governo do Estado do Acre,12,2208236292.33,2.20823629233,2159912446.25,0.022373057835700205,2.2373057835700205
2026,2,2026B2,AC,Governo do Estado do Acre,12,2325476346.05,2.3254763460500003,2162889048.48,0.07517135365046146,7.517135365046146
2022,1,2022B1,AL,Governo do Estado de Alagoas,27,5933648425.32,5.9336484253199995,NA,NA,NA
2022,2,2022B2,AL,Governo do Estado de Alagoas,27,6104050212.59,6.10405021259,NA,NA,NA
2023,1,2023B1,AL,Governo do Estado de Alagoas,27,6276467268.11,6.276467268109999,5933648425.32,0.05777538846540464,5.777538846540464
2023,2,2023B2,AL,Governo do Estado de Alagoas,27,6339856771.93,6.33985677193,6104050212.59,0.03863116310112158,3.863116310112158
2024,1,2024B1,AL,Governo do Estado de Alagoas,27,7675163431.27,7.675163431270001,6276467268.11,0.22284767902265878,22.284767902265877
2024,2,2024B2,AL,Governo do Estado de Alagoas,27,7997529101.77,7.9975291017700005,6339856771.93,0.2614684194727266,26.14684194727266
2025,1,2025B1,AL,Governo do Estado de Alagoas,27,8716628749.35,8.71662874935,7675163431.27,0.13569291747415857,13.569291747415857
2025,2,2025B2,AL,Governo do Estado de Alagoas,27,8706092281.4,8.7060922814,7997529101.77,0.08859776196040103,8.859776196040103
2026,1,2026B1,AL,Governo do Estado de Alagoas,27,9009990395.92,9.009990395920001,8716628749.35,0.03365540222094188,3.3655402220941877
2026,2,2026B2,AL,Governo do Estado de Alagoas,27,9201962780.7,9.2019627807,8706092281.4,0.05695672447205702,5.695672447205702
2022,1,2022B1,AM,Governo do Estado do Amazonas,13,13333345031.77,13.333345031770001,NA,NA,NA
2022,2,2022B2,AM,Governo do Estado do Amazonas,13,13613321277.6,13.6133212776,NA,NA,NA
2023,1,2023B1,AM,Governo do Estado do Amazonas,13,14156107968.26,14.15610796826,13333345031.77,0.06170716609594695,6.170716609594695
2023,2,2023B2,AM,Governo do Estado do Amazonas,13,14051691820.26,14.05169182026,13613321277.6,0.03220158649905036,3.220158649905036
2024,1,2024B1,AM,Governo do Estado do Amazonas,13,14236834905.44,14.23683490544,14156107968.26,0.005702622314057049,0.5702622314057049
2024,2,2024B2,AM,Governo do Estado do Amazonas,13,14497584272.16,14.49758427216,14051691820.26,0.03173229655215626,3.173229655215626
2025,1,2025B1,AM,Governo do Estado do Amazonas,13,16208642034.12,16.20864203412,14236834905.44,0.13850038591980574,13.850038591980574
2025,2,2025B2,AM,Governo do Estado do Amazonas,13,16488217085.72,16.48821708572,14497584272.16,0.13730789738416282,13.730789738416282
2026,1,2026B1,AM,Governo do Estado do Amazonas,13,16689366067.44,16.68936606744,16208642034.12,0.029658501452993535,2.9658501452993535
2026,2,2026B2,AM,Governo do Estado do Amazonas,13,17383411398.84,17.38341139884,16488217085.72,0.05429297227626284,5.429297227626284
2022,1,2022B1,AP,Governo do Estado do Amapá,16,1300135484.17,1.3001354841700001,NA,NA,NA
2022,2,2022B2,AP,Governo do Estado do Amapá,16,1325792620.84,1.32579262084,NA,NA,NA
2023,1,2023B1,AP,Governo do Estado do Amapá,16,1356481032.39,1.35648103239,1300135484.17,0.04333821275247374,4.333821275247374
2023,2,2023B2,AP,Governo do Estado do Amapá,16,1345650769.07,1.34565076907,1325792620.84,0.014978321585028986,1.4978321585028986
2024,1,2024B1,AP,Governo do Estado do Amapá,16,1394226770.45,1.39422677045,1356481032.39,0.027826218840299788,2.782621884029979
2024,2,2024B2,AP,Governo do Estado do Amapá,16,1442118900.58,1.44211890058,1345650769.07,0.07168883169937956,7.168883169937956
2025,1,2025B1,AP,Governo do Estado do Amapá,16,1523379290.82,1.52337929082,1394226770.45,0.09263379753375034,9.263379753375034
2025,2,2025B2,AP,Governo do Estado do Amapá,16,1533984210.79,1.53398421079,1442118900.58,0.063701620007236,6.3701620007236
2026,1,2026B1,AP,Governo do Estado do Amapá,16,1731493355.46,1.73149335546,1523379290.82,0.13661342640937257,13.661342640937256
2026,2,2026B2,AP,Governo do Estado do Amapá,16,1746960865.2,1.7469608652000002,1533984210.79,0.13883888302886604,13.883888302886604
2022,1,2022B1,BA,Governo do Estado da Bahia,29,31619897956.16,31.61989795616,NA,NA,NA
2022,2,2022B2,BA,Governo do Estado da Bahia,29,32816617084.97,32.81661708497,NA,NA,NA
2023,1,2023B1,BA,Governo do Estado da Bahia,29,32692498079,32.692498079,31619897956.16,0.03392168198414569,3.392168198414569
2023,2,2023B2,BA,Governo do Estado da Bahia,29,32729049945.61,32.72904994561,32816617084.97,-0.0026683780090210885,-0.26683780090210885
2024,1,2024B1,BA,Governo do Estado da Bahia,29,35630579302.73,35.630579302730006,32692498079,0.08987019641724103,8.987019641724103
2024,2,2024B2,BA,Governo do Estado da Bahia,29,36022063477.12,36.02206347712,32729049945.61,0.10061439415389128,10.061439415389128
2025,1,2025B1,BA,Governo do Estado da Bahia,29,40372910402.39,40.37291040239,35630579302.73,0.1330972213324817,13.309722133248169
2025,2,2025B2,BA,Governo do Estado da Bahia,29,40822022913.85,40.82202291385,36022063477.12,0.13325054073536813,13.325054073536812
2026,1,2026B1,BA,Governo do Estado da Bahia,29,41979396714.94,41.97939671494,40372910402.39,0.03979119405904674,3.979119405904674
2026,2,2026B2,BA,Governo do Estado da Bahia,29,42208960242.23,42.208960242230006,40822022913.85,0.033975222915997305,3.3975222915997305
2022,1,2022B1,CE,Governo do Estado do Ceará,23,16494279815.45,16.49427981545,NA,NA,NA
2022,2,2022B2,CE,Governo do Estado do Ceará,23,16942206660.74,16.94220666074,NA,NA,NA
2023,1,2023B1,CE,Governo do Estado do Ceará,23,17026266950.26,17.026266950260002,16494279815.45,0.03225282587431866,3.225282587431866
2023,2,2023B2,CE,Governo do Estado do Ceará,23,16848296575.35,16.848296575350002,16942206660.74,-0.005542966584607623,-0.5542966584607623
2024,1,2024B1,CE,Governo do Estado do Ceará,23,17441858055.31,17.44185805531,17026266950.26,0.024408821162272165,2.4408821162272165
2024,2,2024B2,CE,Governo do Estado do Ceará,23,17875582741.32,17.87558274132,16848296575.35,0.06097270198062499,6.097270198062499
2025,1,2025B1,CE,Governo do Estado do Ceará,23,20436989416.79,20.436989416790002,17441858055.31,0.1717208884501935,17.172088845019353
2025,2,2025B2,CE,Governo do Estado do Ceará,23,20634451166.83,20.63445116683,17875582741.32,0.15433725800349918,15.433725800349919
2026,1,2026B1,CE,Governo do Estado do Ceará,23,21742926973.76,21.74292697376,20436989416.79,0.06390068176563735,6.390068176563735
2026,2,2026B2,CE,Governo do Estado do Ceará,23,22093799281.61,22.09379928161,20634451166.83,0.0707238638421317,7.07238638421317
2022,1,2022B1,DF,Governo do Distrito Federal,53,10007864766.04,10.00786476604,NA,NA,NA
2022,2,2022B2,DF,Governo do Distrito Federal,53,10257341334.1,10.257341334100001,NA,NA,NA
2023,1,2023B1,DF,Governo do Distrito Federal,53,9920731844.51,9.92073184451,10007864766.04,-0.008706444737909713,-0.8706444737909713
2023,2,2023B2,DF,Governo do Distrito Federal,53,9776918612.35,9.77691861235,10257341334.1,-0.04683696350757671,-4.683696350757671
2024,1,2024B1,DF,Governo do Distrito Federal,53,10259590898.58,10.259590898579999,9920731844.51,0.034156658942204876,3.4156658942204876
2024,2,2024B2,DF,Governo do Distrito Federal,53,10510065730.46,10.51006573046,9776918612.35,0.07498754435614341,7.498754435614341
2025,1,2025B1,DF,Governo do Distrito Federal,53,11895718306.5,11.8957183065,10259590898.58,0.15947296769371677,15.947296769371677
2025,2,2025B2,DF,Governo do Distrito Federal,53,12089537752.4,12.0895377524,10510065730.46,0.150281840518125,15.028184051812499
2026,1,2026B1,DF,Governo do Distrito Federal,53,12826852368.41,12.82685236841,11895718306.5,0.07827472355336584,7.827472355336584
2026,2,2026B2,DF,Governo do Distrito Federal,53,13041698731.06,13.04169873106,12089537752.4,0.07875908890486549,7.875908890486549
2022,1,2022B1,ES,Governo do Estado do Espírito Santo,32,15909499754.21,15.90949975421,NA,NA,NA
2022,2,2022B2,ES,Governo do Estado do Espírito Santo,32,16418931768.95,16.41893176895,NA,NA,NA
2023,1,2023B1,ES,Governo do Estado do Espírito Santo,32,16602856038.4,16.6028560384,15909499754.21,0.04358127501818676,4.358127501818676
2023,2,2023B2,ES,Governo do Estado do Espírito Santo,32,16632488662.96,16.63248866296,16418931768.95,0.013006747151106168,1.3006747151106168
2024,1,2024B1,ES,Governo do Estado do Espírito Santo,32,18274146783.54,18.27414678354,16602856038.4,0.10066284627624,10.066284627624
2024,2,2024B2,ES,Governo do Estado do Espírito Santo,32,18787252064.16,18.78725206416,16632488662.96,0.1295514727148792,12.95514727148792
2025,1,2025B1,ES,Governo do Estado do Espírito Santo,32,21069202472.85,21.069202472849998,18274146783.54,0.1529513647021581,15.295136470215809
2025,2,2025B2,ES,Governo do Estado do Espírito Santo,32,21262781485.75,21.26278148575,18787252064.16,0.13176644530748116,13.176644530748117
2026,1,2026B1,ES,Governo do Estado do Espírito Santo,32,23157126709.71,23.15712670971,21069202472.85,0.09909839917056762,9.909839917056761
2026,2,2026B2,ES,Governo do Estado do Espírito Santo,32,23524854986.09,23.52485498609,21262781485.75,0.10638652811514837,10.638652811514838
2022,1,2022B1,GO,Governo do Estado de Goiás,52,23637569531.73,23.637569531729998,NA,NA,NA
2022,2,2022B2,GO,Governo do Estado de Goiás,52,24291011662.82,24.29101166282,NA,NA,NA
2023,1,2023B1,GO,Governo do Estado de Goiás,52,23818798446.59,23.81879844659,23637569531.73,0.007666986007877297,0.7666986007877297
2023,2,2023B2,GO,Governo do Estado de Goiás,52,23329011028.53,23.329011028529997,24291011662.82,-0.039603152295317745,-3.9603152295317745
2024,1,2024B1,GO,Governo do Estado de Goiás,52,24934052885.89,24.93405288589,23818798446.59,0.046822447479909046,4.682244747990905
