exercicio,periodo,periodo_ref,uf,instituicao,cod_ibge,valor_12m,valor_12m_bilhoes
2022,1,2022B1,AC,Governo do Estado do Acre,12,1661217349.31,1.66121734931
2022,2,2022B2,AC,Governo do Estado do Acre,12,1691635007.65,1.6916350076500002
2023,1,2023B1,AC,Governo do Estado do Acre,12,1795584660.56,1.7955846605599999
2023,2,2023B2,AC,Governo do Estado do Acre,12,1808727073.02,1.80872707302
2024,1,2024B1,AC,Governo do Estado do Acre,12,1956971064.08,1.95697106408
2024,2,2024B2,AC,Governo do Estado do Acre,12,1990621156.13,1.99062115613
2025,1,2025B1,AC,Governo do Estado do Acre,12,2159912446.25,2.15991244625
2025,2,2025B2,AC,Governo do Estado do Acre,12,2162889048.48,2.16288904848
2026,1,2026B1,AC,Governo do Estado do Acre,12,2208236292.33,2.20823629233
2026,2,2026B2,AC,Governo do Estado do Acre,12,2325476346.05,2.3254763460500003
2022,1,2022B1,AL,Governo do Estado de Alagoas,27,5933648425.32,5.9336484253199995
2022,2,2022B2,AL,Governo do Estado de Alagoas,27,6104050212.59,6.10405021259
2023,1,2023B1,AL,Governo do Estado de Alagoas,27,6276467268.11,6.276467268109999
2023,2,2023B2,AL,Governo do Estado de Alagoas,27,6339856771.93,6.33985677193
2024,1,2024B1,AL,Governo do Estado de Alagoas,27,7675163431.27,7.675163431270001
2024,2,2024B2,AL,Governo do Estado de Alagoas,27,7997529101.77,7.9975291017700005
2025,1,2025B1,AL,Governo do Estado de Alagoas,27,8716628749.35,8.71662874935
2025,2,2025B2,AL,Governo do Estado de Alagoas,27,8706092281.4,8.7060922814
2026,1,2026B1,AL,Governo do Estado de Alagoas,27,9009990395.92,9.009990395920001
2026,2,2026B2,AL,Governo do Estado de Alagoas,27,9201962780.7,9.2019627807
2022,1,2022B1,AM,Governo do Estado do Amazonas,13,13333345031.77,13.333345031770001
2022,2,2022B2,AM,Governo do Estado do Amazonas,13,13613321277.6,13.6133212776
2023,1,2023B1,AM,Governo do Estado do Amazonas,13,14156107968.26,14.15610796826
2023,2,2023B2,AM,Governo do Estado do Amazonas,13,14051691820.26,14.05169182026
2024,1,2024B1,AM,Governo do Estado do Amazonas,13,14236834905.44,14.23683490544
2024,2,2024B2,AM,Governo do Estado do Amazonas,13,14497584272.16,14.49758427216
2025,1,2025B1,AM,Governo do Estado do Amazonas,13,16208642034.12,16.20864203412
2025,2,2025B2,AM,Governo do Estado do Amazonas,13,16488217085.72,16.48821708572
2026,1,2026B1,AM,Governo do Estado do Amazonas,13,16689366067.44,16.68936606744
2026,2,2026B2,AM,Governo do Estado do Amazonas,13,17383411398.84,17.38341139884
2022,1,2022B1,AP,Governo do Estado do Amapá,16,1300135484.17,1.3001354841700001
2022,2,2022B2,AP,Governo do Estado do Amapá,16,1325792620.84,1.32579262084
2023,1,2023B1,AP,Governo do Estado do Amapá,16,1356481032.39,1.35648103239
2023,2,2023B2,AP,Governo do Estado do Amapá,16,1345650769.07,1.34565076907
2024,1,2024B1,AP,Governo do Estado do Amapá,16,1394226770.45,1.39422677045
2024,2,2024B2,AP,Governo do Estado do Amapá,16,1442118900.58,1.44211890058
2025,1,2025B1,AP,Governo do Estado do Amapá,16,1523379290.82,1.52337929082
2025,2,2025B2,AP,Governo do Estado do Amapá,16,1533984210.79,1.53398421079
