exercicio,periodo,uf,instituicao,cod_ibge,valor_bimestre,valor_bimestre_bilhoes,periodo_ref
2022,1,AC,Governo do Estado do Acre,12,292803226.54999995,0.29280322654999996,2022B1
2022,2,AC,Governo do Estado do Acre,12,289022394.14,0.28902239413999997,2022B2
2023,1,AC,Governo do Estado do Acre,12,297352833.31,0.29735283331,2023B1
2023,2,AC,Governo do Estado do Acre,12,302164806.6,0.3021648066,2023B2
2024,1,AC,Governo do Estado do Acre,12,342191338.97,0.34219133897000004,2024B1
2024,2,AC,Governo do Estado do Acre,12,335814898.65,0.33581489864999997,2024B2
2025,1,AC,Governo do Estado do Acre,12,342135668.03999996,0.34213566803999995,2025B1
2025,2,AC,Governo do Estado do Acre,12,338791500.88,0.33879150088,2025B2
2026,1,AC,Governo do Estado do Acre,12,330064962.19,0.33006496219,2026B1
2026,2,AC,Governo do Estado do Acre,12,456031554.6,0.4560315546,2026B2
2022,1,AL,Governo do Estado de Alagoas,27,1099453395.61,1.0994533956099999,2022B1
2022,2,AL,Governo do Estado de Alagoas,27,1037994915.73,1.03799491573,2022B2
2023,1,AL,Governo do Estado de Alagoas,27,1097064333.74,1.0970643337400001,2023B1
2023,2,AL,Governo do Estado de Alagoas,27,1101384419.55,1.10138441955,2023B2
2024,1,AL,Governo do Estado de Alagoas,27,1433240455.7800002,1.4332404557800003,2024B1
2024,2,AL,Governo do Estado de Alagoas,27,1423750090.05,1.42375009005,2024B2
2025,1,AL,Governo do Estado de Alagoas,27,1661016868.8000002,1.6610168688000002,2025B1
2025,2,AL,Governo do Estado de Alagoas,27,1413213622.1,1.4132136221,2025B2
2026,1,AL,Governo do Estado de Alagoas,27,1662902293.86,1.66290229386,2026B1
2026,2,AL,Governo do Estado de Alagoas,27,1605186006.88,1.6051860068800001,2026B2
2022,1,AM,Governo do Estado do Amazonas,13,2199897882.3900003,2.19989788239,2022B1
2022,2,AM,Governo do Estado do Amazonas,13,2235187813.52,2.23518781352,2022B2
2023,1,AM,Governo do Estado do Amazonas,13,2359718130.29,2.35971813029,2023B1
2023,2,AM,Governo do Estado do Amazonas,13,2131954872.01,2.13195487201,2023B2
2024,1,AM,Governo do Estado do Amazonas,13,2350338964.99,2.3503389649899997,2024B1
2024,2,AM,Governo do Estado do Amazonas,13,2392704238.73,2.39270423873,2024B2
2025,1,AM,Governo do Estado do Amazonas,13,2860470974.46,2.86047097446,2025B1
2025,2,AM,Governo do Estado do Amazonas,13,2672279290.33,2.67227929033,2025B2
2026,1,AM,Governo do Estado do Amazonas,13,2625735989.62,2.62573598962,2026B1
2026,2,AM,Governo do Estado do Amazonas,13,3366324621.73,3.36632462173,2026B2
2022,1,AP,Governo do Estado do Amapá,16,224376085.44,0.22437608543999998,2022B1
2022,2,AP,Governo do Estado do Amapá,16,208304405,0.208304405,2022B2
2023,1,AP,Governo do Estado do Amapá,16,227743475.37,0.22774347537,2023B1
2023,2,AP,Governo do Estado do Amapá,16,197474141.68,0.19747414168000002,2023B2
2024,1,AP,Governo do Estado do Amapá,16,249723337.45,0.24972333745,2024B1
2024,2,AP,Governo do Estado do Amapá,16,245366271.81,0.24536627181,2024B2
2025,1,AP,Governo do Estado do Amapá,16,255692340.93,0.25569234093,2025B1
2025,2,AP,Governo do Estado do Amapá,16,255971191.78,0.25597119178,2025B2
2026,1,AP,Governo do Estado do Amapá,16,284258013.01,0.28425801301,2026B1
2026,2,AP,Governo do Estado do Amapá,16,271438701.52,0.27143870152,2026B2
2022,1,BA,Governo do Estado da Bahia,29,5647764559.530001,5.647764559530001,2022B1
2022,2,BA,Governo do Estado da Bahia,29,5678407626.889999,5.6784076268899994,2022B2
2023,1,BA,Governo do Estado da Bahia,29,5091235969.1,5.0912359691,2023B1
2023,2,BA,Governo do Estado da Bahia,29,5714959493.5,5.7149594935,2023B2
2024,1,BA,Governo do Estado da Bahia,29,6229869251.65,6.229869251649999,2024B1
2024,2,BA,Governo do Estado da Bahia,29,6106443667.89,6.106443667890001,2024B2
2025,1,BA,Governo do Estado da Bahia,29,7105759502.36,7.10575950236,2025B1
2025,2,BA,Governo do Estado da Bahia,29,6555556179.35,6.555556179350001,2025B2
2026,1,BA,Governo do Estado da Bahia,29,7086187570.620001,7.086187570620001,2026B1
2026,2,BA,Governo do Estado da Bahia,29,6785119706.639999,6.78511970664,2026B2
2022,1,CE,Governo do Estado do Ceará,23,2824147572.3199997,2.82414757232,2022B1
2022,2,CE,Governo do Estado do Ceará,23,2773841126.54,2.77384112654,2022B2
2023,1,CE,Governo do Estado do Ceará,23,2725746822.19,2.72574682219,2023B1
2023,2,CE,Governo do Estado do Ceará,23,2595870751.63,2.59587075163,2023B2
2024,1,CE,Governo do Estado do Ceará,23,3114055845.02,3.1140558450199998,2024B1
2024,2,CE,Governo do Estado do Ceará,23,3029595437.6400003,3.0295954376400003,2024B2
2025,1,CE,Governo do Estado do Ceará,23,3348960416.45,3.3489604164499998,2025B1
2025,2,CE,Governo do Estado do Ceará,23,3227057187.68,3.22705718768,2025B2
2026,1,CE,Governo do Estado do Ceará,23,3644301901.95,3.6443019019499996,2026B1
2026,2,CE,Governo do Estado do Ceará,23,3577929495.5299997,3.57792949553,2026B2
2022,1,DF,Governo do Distrito Federal,53,1760835901.93,1.7608359019300002,2022B1
2022,2,DF,Governo do Distrito Federal,53,1697046203.9,1.6970462039,2022B2
2023,1,DF,Governo do Distrito Federal,53,1579713414.9899998,1.5797134149899998,2023B1
2023,2,DF,Governo do Distrito Federal,53,1553232971.74,1.55323297174,2023B2
2024,1,DF,Governo do Distrito Federal,53,1833937629.42,1.83393762942,2024B1
2024,2,DF,Governo do Distrito Federal,53,1803707803.62,1.8037078036199998,2024B2
2025,1,DF,Governo do Distrito Federal,53,2013084913.2199998,2.0130849132199997,2025B1
2025,2,DF,Governo do Distrito Federal,53,1997527249.52,1.99752724952,2025B2
2026,1,DF,Governo do Distrito Federal,53,2241844601.6800003,2.2418446016800004,2026B1
2026,2,DF,Governo do Distrito Federal,53,2212373612.17,2.21237361217,2026B2
2022,1,ES,Governo do Estado do Espírito Santo,32,2859243632.51,2.85924363251,2022B1
2022,2,ES,Governo do Estado do Espírito Santo,32,2771794344.48,2.77179434448,2022B2
2023,1,ES,Governo do Estado do Espírito Santo,32,2810935963.87,2.81093596387,2023B1
2023,2,ES,Governo do Estado do Espírito Santo,32,2801426969.04,2.80142696904,2023B2
2024,1,ES,Governo do Estado do Espírito Santo,32,3351704126.58,3.35170412658,2024B1
2024,2,ES,Governo do Estado do Espírito Santo,32,3314532249.66,3.31453224966,2024B2
2025,1,ES,Governo do Estado do Espírito Santo,32,3532351267.31,3.53235126731,2025B1
2025,2,ES,Governo do Estado do Espírito Santo,32,3508111262.56,3.50811126256,2025B2
2026,1,ES,Governo do Estado do Espírito Santo,32,4073631260.2,4.0736312602,2026B1
2026,2,ES,Governo do Estado do Espírito Santo,32,3875839538.94,3.87583953894,2026B2
2022,1,GO,Governo do Estado de Goiás,52,3996485835.56,3.99648583556,2022B1
2022,2,GO,Governo do Estado de Goiás,52,4180401669.08,4.18040166908,2022B2
2023,1,GO,Governo do Estado de Goiás,52,3749423863.75,3.74942386375,2023B1
2023,2,GO,Governo do Estado de Goiás,52,3690614251.02,3.69061425102,2023B2
2024,1,GO,Governo do Estado de Goiás,52,4334005022.47,4.33400502247,2024B1
2024,2,GO,Governo do Estado de Goiás,52,4416526803.67,4.41652680367,2024B2
2025,1,GO,Governo do Estado de Goiás,52,4467987731.360001,4.467987731360001,2025B1
